Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP,playerid
Mike Trout,Angels,153,680,547,169,33,5,38,116,133,118,125,10,25,6,0.309,0.437,0.596,1.033,0.426,-1,1.9,8.8,1.1,10155
Bryce Harper,Nationals,146,642,534,166,35,2,38,106,126,99,127,3,8,3,0.311,0.417,0.597,1.015,0.417,3,-0.1,6.4,8.5,11579
Joey Votto,Reds,155,683,546,171,34,2,30,102,122,126,92,6,5,1,0.313,0.444,0.548,0.991,0.415,2,0,6.1,18.8,4314
Freddie Freeman,Braves,148,650,554,170,42,3,34,102,120,84,130,9,5,1,0.307,0.405,0.578,0.982,0.406,2,0.1,5.5,21.7,5361
Kris Bryant,Cubs,155,686,573,168,38,4,35,112,122,94,135,14,6,2,0.293,0.402,0.557,0.959,0.403,4,-0.1,7,15.2,15429
Josh Donaldson,Blue Jays,149,663,553,158,33,2,38,119,121,98,132,7,5,1,0.286,0.397,0.559,0.955,0.401,3,0.1,7.1,29.2,5038
Aaron Judge,Yankees,150,664,543,146,26,3,43,115,127,109,192,7,5,1,0.269,0.395,0.565,0.96,0.4,3,0.1,6.1,18.1,15640
Charlie Blackmon,Rockies,155,701,621,195,36,10,32,127,111,64,121,12,14,4,0.314,0.387,0.559,0.945,0.395,-4,0.6,4.7,8,7859
Giancarlo Stanton,Yankees,146,637,549,150,30,1,48,113,131,79,159,6,3,1,0.273,0.369,0.594,0.963,0.395,1,-0.2,5.1,8.6,4949
Paul Goldschmidt,Diamondbacks,156,685,573,173,34,3,32,100,117,100,145,6,18,3,0.302,0.407,0.539,0.947,0.393,3,1.8,4.8,5.1,9218
Nolan Arenado,Rockies,156,684,607,183,42,6,38,105,121,66,104,3,5,3,0.301,0.368,0.578,0.947,0.388,9,-0.7,5.4,5.1,9777
Anthony Rizzo,Cubs,155,679,567,161,33,3,33,99,117,84,96,23,6,2,0.284,0.395,0.527,0.922,0.387,4,-0.1,4.7,25,3473
J.D. Martinez,Red Sox,139,602,532,157,32,2,36,99,114,62,152,3,4,1,0.295,0.369,0.566,0.935,0.387,-5,0,3.5,24.9,6184
Carlos Correa,Astros,148,641,562,169,35,3,32,94,115,71,117,3,9,1,0.301,0.379,0.544,0.924,0.387,-1,1,6.6,14.2,14162
Jose Altuve,Astros,156,692,616,203,41,4,23,101,104,62,78,8,32,7,0.33,0.395,0.521,0.916,0.385,-2,2.9,6.6,2.2,5417
Rhys Hoskins,Phillies,149,650,542,146,29,3,35,100,115,91,130,10,5,2,0.269,0.38,0.528,0.908,0.382,-3,-0.3,3.9,49.7,16472
Michael Conforto,Mets,118,528,452,128,24,2,25,100,83,66,127,7,5,2,0.283,0.381,0.511,0.892,0.376,3,-0.2,4.2,190,16376
Brandon Belt,Giants,148,633,532,146,38,6,23,85,103,94,139,4,5,2,0.274,0.385,0.498,0.884,0.376,8,-0.3,4.5,303.8,10264
Corey Seager,Dodgers,147,655,575,172,37,3,25,104,97,71,134,5,5,2,0.299,0.379,0.504,0.883,0.373,6,-0.3,6.2,38.8,13624
Mookie Betts,Red Sox,151,680,602,180,42,5,26,119,98,70,80,2,25,4,0.299,0.371,0.515,0.886,0.373,16,2.9,6.1,8.3,13611
Gary Sanchez,Yankees,134,572,507,142,27,0,34,93,105,52,124,8,3,1,0.28,0.353,0.535,0.888,0.372,4,-0.2,5.7,20,11442
Anthony Rendon,Nationals,148,633,539,155,39,1,23,85,101,80,95,7,5,2,0.288,0.382,0.492,0.874,0.372,10,-0.3,5.5,57.7,12861
Justin Turner,Dodgers,141,620,533,158,33,1,22,89,91,64,79,16,5,1,0.296,0.384,0.486,0.87,0.371,2,0.1,5,83.3,5235
Nelson Cruz,Mariners,150,647,568,161,25,1,36,97,115,65,144,9,2,1,0.283,0.363,0.521,0.884,0.37,-2,-0.4,3.4,55.7,2434
George Springer,Astros,144,654,568,157,29,3,31,126,95,72,125,11,8,3,0.276,0.367,0.502,0.869,0.37,1,-0.1,5.3,30.8,12856
Jose Ramirez,Indians,156,687,620,188,46,5,24,93,99,59,69,3,16,4,0.303,0.364,0.51,0.874,0.368,3,1.1,5.5,19,13510
Matt Carpenter,Cardinals,138,619,508,134,32,3,22,111,87,100,121,7,4,2,0.264,0.389,0.469,0.858,0.368,-3,-0.5,3.2,179.8,8090
Tommy Pham,Cardinals,142,631,541,154,27,4,22,104,89,81,138,6,26,6,0.285,0.382,0.471,0.853,0.367,6,2.2,5.1,58.7,2967
Joey Gallo,Rangers,149,625,524,120,23,4,41,108,117,95,203,5,5,1,0.229,0.352,0.523,0.875,0.367,-2,0.2,2.9,114.2,14128
Jose Abreu,White Sox,153,669,607,181,37,3,31,97,105,42,124,15,3,1,0.298,0.356,0.522,0.878,0.367,0,-0.2,3.7,41.5,15676
Cody Bellinger,Dodgers,148,639,556,148,31,4,36,98,111,73,160,4,11,2,0.266,0.352,0.531,0.883,0.367,4,1,3.8,24.4,15998
Kyle Schwarber,Cubs,134,576,491,125,25,2,31,87,100,77,156,6,2,1,0.255,0.361,0.503,0.864,0.366,-2,-0.4,2.8,176.6,16478
Edwin Encarnacion,Indians,151,649,547,142,28,0,35,96,112,89,132,6,1,0,0.26,0.365,0.503,0.868,0.366,-1,-0.2,2.9,56.5,2151
Yoenis Cespedes,Mets,137,606,544,155,33,3,32,100,97,52,115,5,3,1,0.285,0.35,0.533,0.883,0.366,-1,-0.2,3.5,94.3,13110
Miguel Sano,Twins,122,526,458,120,24,2,30,82,91,62,169,3,1,0,0.262,0.352,0.52,0.871,0.366,-2,-0.1,3.4,107.9,12164
Willson Contreras,Cubs,132,557,485,136,25,2,23,80,90,61,118,8,4,2,0.28,0.368,0.482,0.851,0.364,5,-0.4,4.9,52.4,11609
Andrew Benintendi,Red Sox,154,684,595,174,31,8,23,100,94,75,113,6,22,6,0.292,0.373,0.487,0.86,0.364,3,1.4,4.1,41.4,17901
Adrian Beltre,Rangers,132,577,512,153,28,2,22,81,85,54,78,5,1,0,0.299,0.367,0.49,0.858,0.362,7,-0.2,4.5,158.5,639
Miguel Cabrera,Tigers,131,574,506,150,27,1,22,82,84,62,102,3,0,0,0.296,0.375,0.484,0.859,0.362,1,-0.4,2.7,95.6,1744
Justin Upton,Angels,154,665,581,153,37,2,33,96,108,77,181,4,14,4,0.263,0.352,0.504,0.856,0.361,0,0.7,4,48.3,5222
Daniel Murphy,Nationals,132,570,516,161,34,3,19,74,84,43,69,5,3,1,0.312,0.367,0.5,0.867,0.361,-5,-0.2,3,69.7,4316
Alex Bregman,Astros,156,686,611,177,40,7,23,91,95,62,107,8,16,4,0.29,0.36,0.491,0.851,0.36,-1,1.1,5.1,32.2,17678
Manny Machado,Orioles,155,684,624,180,37,1,35,108,106,51,110,3,6,2,0.288,0.342,0.519,0.861,0.36,8,0,5.6,18.1,11493
Mitch Haniger,Mariners,143,594,523,146,36,5,23,83,91,53,125,11,8,3,0.279,0.354,0.499,0.853,0.36,4,0,3.9,212.8,14274
Christian Yelich,Brewers,155,690,607,178,38,3,21,104,91,75,129,4,19,4,0.293,0.372,0.47,0.842,0.36,2,1.6,3.9,57.5,11477
Gregory Bird,Yankees,130,548,473,124,26,1,27,83,91,64,130,6,0,0,0.262,0.354,0.493,0.847,0.359,-2,-0.4,2.3,151.1,14131
Jesse Winker,Reds,122,552,475,139,26,1,16,95,69,66,93,6,4,2,0.293,0.382,0.453,0.835,0.358,-4,-0.5,2.1,320,13590
Buster Posey,Giants,135,590,512,158,32,1,13,71,75,66,69,5,4,0,0.309,0.388,0.451,0.839,0.357,2,0.4,4.9,58.1,9166
Marcell Ozuna,Cardinals,152,658,594,168,31,3,30,93,102,58,137,3,4,3,0.283,0.348,0.497,0.845,0.357,2,-0.9,3.3,47.7,10324
Matt Olson,Athletics,148,632,549,139,28,1,36,96,108,74,167,4,4,0,0.253,0.343,0.505,0.848,0.357,2,0.4,3.2,126.4,14344
Khris Davis,Athletics,150,644,563,141,24,2,40,99,113,69,181,6,5,2,0.25,0.335,0.513,0.849,0.356,-5,-0.2,2.3,69.3,9112
Carlos Santana,Phillies,150,651,552,142,31,3,27,89,99,91,99,4,5,1,0.257,0.364,0.471,0.835,0.356,2,0.1,2.7,171.1,2396
Eugenio Suarez,Reds,151,650,556,146,29,3,26,86,99,82,142,8,6,2,0.263,0.363,0.466,0.829,0.356,5,-0.1,4.3,192.6,12552
Josh Bell,Pirates,156,676,587,161,29,7,27,91,100,79,112,3,4,2,0.274,0.359,0.486,0.845,0.356,-1,-0.5,2.5,183.9,13145
Domingo Santana,Brewers,150,647,562,150,28,1,28,87,101,75,188,7,13,5,0.267,0.359,0.47,0.828,0.355,-6,0,2.1,83.8,10348
Brian Dozier,Twins,153,698,614,163,32,4,34,130,96,71,148,8,15,3,0.265,0.347,0.497,0.843,0.355,0,1.3,4.5,37.3,9810
Ryan McMahon,Rockies,123,512,464,133,31,4,20,71,77,38,111,5,6,3,0.287,0.344,0.5,0.844,0.355,3,-0.4,1.3,339.6,15112
Francisco Lindor,Indians,155,695,622,180,37,5,26,116,93,61,84,3,15,4,0.289,0.351,0.49,0.841,0.355,10,0.9,5.9,20.8,12916
Rafael Devers,Red Sox,134,554,505,145,30,4,22,76,83,43,119,3,5,2,0.287,0.345,0.493,0.838,0.353,-3,-0.2,3,122.9,17350
Jose Martinez,Cardinals,112,462,407,119,19,1,15,60,64,49,84,2,4,1,0.292,0.368,0.455,0.823,0.353,-4,0,1.5,265.9,7996
Eric Thames,Brewers,137,590,511,127,28,4,28,82,94,72,161,7,5,2,0.249,0.349,0.483,0.833,0.353,-2,-0.2,1.7,192.5,3711
Adam Eaton,Nationals,147,657,572,166,29,9,12,95,76,69,101,13,18,5,0.29,0.377,0.435,0.813,0.353,5,1,3.5,152.3,11205
Xander Bogaerts,Red Sox,147,628,563,168,34,3,16,75,86,57,111,5,16,2,0.298,0.366,0.455,0.821,0.352,-1,1.9,4.2,84.9,12161
Dexter Fowler,Cardinals,135,597,509,136,24,7,18,86,77,77,127,7,11,3,0.267,0.369,0.448,0.816,0.352,0,0.5,2.8,251.2,4062
Aaron Altherr,Phillies,124,524,466,126,29,5,20,71,79,46,126,10,11,3,0.27,0.347,0.483,0.83,0.352,-1,0.6,2.1,264,11270
Ryan Braun,Brewers,120,522,466,130,27,3,21,70,76,48,94,4,11,2,0.279,0.349,0.485,0.834,0.351,-3,1,1.8,113.4,3410
Yoan Moncada,White Sox,144,653,558,147,27,6,22,112,82,82,187,9,19,3,0.263,0.364,0.452,0.816,0.351,2,2.1,4.5,132.3,17232
DJ LeMahieu,Rockies,151,682,612,194,27,6,10,104,72,61,87,4,11,3,0.317,0.38,0.43,0.81,0.351,4,0.4,2.8,131.4,9874
Justin Bour,Marlins,130,560,491,134,24,0,26,76,87,64,115,1,1,0,0.273,0.355,0.481,0.836,0.35,2,-0.1,2.2,198.8,9744
Trea Turner,Nationals,147,671,619,185,33,11,18,112,75,46,117,2,60,9,0.299,0.347,0.475,0.822,0.35,3,7.8,4.9,4.7,16252
Justin Smoak,Blue Jays,150,652,575,152,24,1,30,90,99,73,144,3,1,0,0.264,0.35,0.466,0.816,0.349,2,-0.2,2.6,151.2,9054
Eric Hosmer,Padres,155,677,612,178,31,2,24,89,93,61,113,1,5,1,0.291,0.355,0.466,0.82,0.349,-1,0.1,2.4,73.9,3516
Avisail Garcia,White Sox,146,623,570,167,25,4,23,79,91,42,118,8,5,2,0.293,0.348,0.472,0.82,0.349,3,-0.3,3.2,199.9,5760
Trey Mancini,Orioles,149,623,572,162,30,5,26,86,94,42,140,5,1,0,0.283,0.335,0.49,0.825,0.349,-1,-0.2,2.5,153,15149
Austin Barnes,Dodgers,111,435,370,103,15,2,10,59,60,58,76,5,4,1,0.278,0.382,0.411,0.792,0.348,1,0,3.3,184.2,12158
Hanley Ramirez,Red Sox,126,537,479,131,24,1,24,73,82,49,105,6,4,1,0.273,0.346,0.478,0.824,0.348,-2,0,1.2,334.1,8001
Andrew McCutchen,Giants,154,688,600,166,31,3,23,110,88,76,127,7,11,4,0.277,0.362,0.453,0.815,0.347,-2,0,3,87,9847
Wil Myers,Padres,153,670,586,151,32,4,29,93,96,74,162,5,18,4,0.258,0.343,0.474,0.818,0.347,-2,1.5,2.6,68.1,10047
Robinson Cano,Mariners,154,677,617,179,35,1,26,92,92,51,91,5,2,1,0.29,0.347,0.477,0.824,0.347,1,-0.4,4.3,83.8,3269
Stephen Piscotty,Athletics,141,591,511,136,27,3,19,75,83,70,122,7,5,2,0.266,0.36,0.442,0.803,0.346,3,-0.3,3,292.9,13367
Marwin Gonzalez,Astros,134,545,493,140,29,2,18,69,75,46,103,5,7,3,0.284,0.35,0.46,0.811,0.346,-1,-0.2,2.7,115.3,5497
Aaron Hicks,Yankees,131,542,465,123,21,3,19,69,75,70,98,2,14,4,0.265,0.36,0.445,0.805,0.346,8,0.7,3.9,231.6,5297
Yasiel Puig,Dodgers,140,583,514,139,24,3,23,78,86,60,107,5,11,4,0.27,0.35,0.463,0.813,0.346,6,0.1,3,111,14225
Jake Lamb,Diamondbacks,148,633,549,137,28,7,29,84,96,75,148,4,5,2,0.25,0.341,0.485,0.826,0.346,-5,-0.2,2.3,120.5,13329
