Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Craig Kimbrel,Red Sox,4,2,2.58,0,65,33,65,42,19,6,100,24,1.02,13.88,3.3,2.46,1.5,1.7,44.8,6655
Kenley Jansen,Dodgers,4,2,2.74,0,65,38,65,46,20,7,91,15,0.94,12.55,2.07,2.58,1.4,1.3,36.5,3096
Andrew Miller,Indians,4,2,2.75,0,65,13,65,47,20,6,91,21,1.05,12.56,2.91,2.72,1.4,1.4,206.4,6785
Clayton Kershaw,Dodgers,15,7,2.74,29,29,0,190,158,58,19,218,35,1.02,10.31,1.67,2.8,5.8,5.7,7.7,2036
Noah Syndergaard,Mets,13,9,3.1,31,31,0,182,152,63,18,220,46,1.09,10.85,2.29,2.85,5.5,4.5,31.4,11762
Dellin Betances,Yankees,3,2,2.96,0,55,2,55,37,18,5,82,26,1.15,13.34,4.29,2.97,1.1,1,278.6,6216
Aroldis Chapman,Yankees,4,2,2.87,0,65,29,65,45,21,7,95,27,1.11,13.18,3.76,2.99,1.3,1.3,63.8,10233
Felipe Rivero,Pirates,4,3,2.99,0,65,31,65,53,22,6,81,24,1.18,11.18,3.28,3.01,1.1,1.1,86.9,12076
Chris Sale,Red Sox,15,7,3.14,29,29,0,192,155,67,23,241,43,1.03,11.29,2,3.03,5.4,5.7,12.3,10603
Ken Giles,Astros,4,3,3.15,0,65,33,65,50,23,7,86,24,1.14,11.9,3.31,3.07,1.1,1,95.1,12910
Corey Knebel,Brewers,4,3,3.14,0,65,30,65,47,23,7,93,29,1.18,12.87,4.04,3.07,1.2,1.1,65.7,15010
Corey Kluber,Indians,16,8,3.29,32,32,0,213,183,78,25,245,49,1.09,10.37,2.08,3.2,5.7,5.7,13.9,2429
Ryan Madson,Nationals,4,3,3.24,0,65,14,65,58,23,6,70,19,1.18,9.73,2.64,3.21,1,0.9,401.1,1852
Edwin Diaz,Mariners,4,3,3.19,0,65,32,65,50,23,7,84,24,1.13,11.64,3.32,3.25,1,1,89.4,14710
Chad Green,Yankees,3,2,3.24,0,45,0,45,36,16,6,57,13,1.1,11.32,2.65,3.26,0.7,0.7,297.3,15552
Zach Britton,Orioles,2,2,3.04,0,40,0,40,37,14,3,40,15,1.3,8.99,3.49,3.27,0.7,0.7,294.7,3240
Trevor Rosenthal,,0,0,3.22,0,1,0,1,1,0,0,1,0,1.23,11.79,4.17,3.3,0,0.1,604.9,10745
Max Scherzer,Nationals,15,9,3.39,32,32,0,207,170,78,27,257,56,1.09,11.13,2.43,3.31,5,5,10.2,3137
Walker Buehler,Dodgers,4,3,3.21,8,23,0,61,49,22,6,74,25,1.21,10.87,3.67,3.32,1.3,1.2,346.2,19374
Stephen Strasburg,Nationals,14,9,3.44,31,31,0,188,165,72,22,215,52,1.15,10.29,2.48,3.34,4.5,4.3,25.8,10131
Justin Wilson,Cubs,2,2,3.2,0,40,0,40,31,14,4,50,18,1.22,11.28,3.99,3.34,0.6,0.6,597.8,4301
A.J. Minter,Braves,3,2,3.29,0,55,0,55,44,20,6,71,23,1.22,11.56,3.79,3.34,0.7,0.7,392.7,18655
Archie Bradley,Diamondbacks,3,3,3.42,0,65,26,65,56,25,6,74,24,1.24,10.2,3.33,3.35,0.9,0.9,182.1,12918
Brad Hand,Padres,3,3,3.32,0,65,29,65,55,24,7,76,23,1.19,10.49,3.12,3.35,0.8,0.8,107.1,9111
Anthony Swarzak,Mets,3,3,3.34,0,65,2,65,57,24,7,72,20,1.18,9.94,2.75,3.36,0.9,0.8,484.2,7466
Jacob deGrom,Mets,13,11,3.44,32,32,0,203,179,78,24,225,57,1.16,9.97,2.52,3.38,4.8,4,35.5,10954
Sean Doolittle,Nationals,4,3,3.33,0,65,22,65,53,24,8,79,19,1.11,10.94,2.66,3.38,0.8,0.9,124.8,1581
Raisel Iglesias,Reds,3,3,3.43,0,65,32,65,54,25,8,78,22,1.18,10.77,3.05,3.42,0.9,0.8,98.7,17130
Scott Alexander,Dodgers,4,3,3.12,0,65,0,65,60,22,4,60,25,1.3,8.32,3.4,3.42,0.8,0.9,650.5,10591
